Title,Description,Start Date,End Date
Projeto de Integração de Sistemas de Informação Distribuídos - Di," stributed Information Systems Integration ProjectSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Proj eto de Integração de Sistemas de Informação Distribuídos\nCódigo: 03729\ nTurno: PISIDTP04\nInício: 2023-03-16 14:30\nFim: 2023-03-16 16:00\nDoce nte: Pedro de Paula Nogueira Ramos\n\nSemester: 2022/2023 - 2.º Semestre \nExecution course: Distributed Information Systems Integration Project\ nCode: 03729\nShift: PISIDTP04\nBegin: 2023-03-16 14:30\nEnd: 2023-03-16  16:00\nTeacher: Pedro de Paula Nogueira Ramos\n\nLOCATION:C5.01\, 5\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Thu Mar 16 14:30:00 GMT 2023,Thu Mar 16 16:00:00 GMT 2023
Engenharia de Software - Software Engineering,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Enge nharia de Software\nCódigo: 03712\nTurno: EngST01\nInício: 2023-03-13 13 :00\nFim: 2023-03-13 14:30\nDocente: Fernando Manuel Pereira da Costa Br ito e Abreu\n\nSemester: 2022/2023 - 2.º Semestre\nExecution course: Sof tware Engineering\nCode: 03712\nShift: EngST01\nBegin: 2023-03-13 13:00\ nEnd: 2023-03-13 14:30\nTeacher: Fernando Manuel Pereira da Costa Brito  e Abreu\n\nLOCATION:Auditório 0NE02-Caiano Pereira\, 0\, Edifício Sedas Nunes (ISCTE -IUL)\, ISCTE-IUL",Mon Mar 13 13:00:00 GMT 2023,Mon Mar 13 14:30:00 GMT 2023
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-03-02 13:00\nFim: 2023-03-02 14:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-03-02 13:00\nEnd: 2023-03-02 14:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.07\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Thu Mar 02 13:00:00 GMT 2023,Thu Mar 02 14:30:00 GMT 2023
Interacção Pessoa-Máquina - Human-Computer Interaction,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Inte racção Pessoa-Máquina\nCódigo: L5316\nTurno: L5316TP04\nInício: 2023-05- 17 14:30\nFim: 2023-05-17 16:00\nDocente: Pedro Figueiredo Santana\n\nSe mester: 2022/2023 - 2.º Semestre\nExecution course: Human-Computer Inter action\nCode: L5316\nShift: L5316TP04\nBegin: 2023-05-17 14:30\nEnd: 202 3-05-17 16:00\nTeacher: Pedro Figueiredo Santana\n\nLOCATION:C2.02\, 2\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed May 17 13:30:00 BST 2023,Wed May 17 15:00:00 BST 2023
Engenharia de Software - Software Engineering,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Enge nharia de Software\nCódigo: 03712\nTurno: EngSTP03\nInício: 2023-02-07 1 3:00\nFim: 2023-02-07 14:30\nDocente: Fernando Manuel Pereira da Costa B rito e Abreu\n\nSemester: 2022/2023 - 2.º Semestre\nExecution course: So ftware Engineering\nCode: 03712\nShift: EngSTP03\nBegin: 2023-02-07 13:0 0\nEnd: 2023-02-07 14:30\nTeacher: Fernando Manuel Pereira da Costa Brit o e Abreu\n\nLOCATION:D1.02\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Tue Feb 07 13:00:00 GMT 2023,Tue Feb 07 14:30:00 GMT 2023
Desenvolvimento para A Internet e Aplicações Móveis - Development,"  for Internet and Mobile AppsSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Dese nvolvimento para A Internet e Aplicações Móveis\nCódigo: 03728\nTurno: D IAMTP02\nInício: 2023-04-26 16:00\nFim: 2023-04-26 17:30\nDocente: Jorge  Manuel Anacleto Louçã\n\nSemester: 2022/2023 - 2.º Semestre\nExecution  course: Development for Internet and Mobile Apps\nCode: 03728\nShift: DI AMTP02\nBegin: 2023-04-26 16:00\nEnd: 2023-04-26 17:30\nTeacher: Jorge M anuel Anacleto Louçã\n\nLOCATION:D1.07\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed Apr 26 15:00:00 BST 2023,Wed Apr 26 16:30:00 BST 2023
Descoberta e Extração de Conhecimento de Dados - Knowledge Discov," ery and Extraction From DataSemestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Desc oberta e Extração de Conhecimento de Dados\nCódigo: 03749\nTurno: DECDTP 03\nInício: 2023-05-17 19:30\nFim: 2023-05-17 21:00\nDocente: Ricardo Da niel Santos Faro Marques Ribeiro\n\nSemester: 2022/2023 - 2.º Semestre\n Execution course: Knowledge Discovery and Extraction From Data\nCode: 03 749\nShift: DECDTP03\nBegin: 2023-05-17 19:30\nEnd: 2023-05-17 21:00\nTe acher: Ricardo Daniel Santos Faro Marques Ribeiro\n\nLOCATION:D1.06\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Wed May 17 18:30:00 BST 2023,Wed May 17 20:00:00 BST 2023
Interacção Pessoa-Máquina - Human-Computer Interaction,"Semestre: 2022/2023 - 2.º Semestre\nUnidade de execução: Inte racção Pessoa-Máquina\nCódigo: L5316\nTurno: L5316TP04\nInício: 2023-03- 29 13:00\nFim: 2023-03-29 14:30\nDocente: Pedro Figueiredo Santana\n\nSe mester: 2022/2023 - 2.º Semestre\nExecution course: Human-Computer Inter action\nCode: L5316\nShift: L5316TP04\nBegin: 2023-03-29 13:00\nEnd: 202 3-03-29 14:30\nTeacher: Pedro Figueiredo Santana\n\nLOCATION:2E05\, 2\, Edifício Sedas Nunes (ISCTE-IUL)\, ISCTE-IUL",Wed Mar 29 12:00:00 BST 2023,Wed Mar 29 13:30:00 BST 2023
Arquitetura de Redes - Network Arquitectures,"Semestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Arqu itetura de Redes\nCódigo: 03708\nTurno: 03708T02\nInício: 2022-10-17 14: 30\nFim: 2022-10-17 16:00\nDocente: Rui Miguel Neto Marinheiro\n\nSemest er: 2022/2023 - 1.º Semestre\nExecution course: Network Arquitectures\nC ode: 03708\nShift: 03708T02\nBegin: 2022-10-17 14:30\nEnd: 2022-10-17 16 :00\nTeacher: Rui Miguel Neto Marinheiro\n\nLOCATION:Auditório B1.03\, 1\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Mon Oct 17 13:30:00 BST 2022,Mon Oct 17 15:00:00 BST 2022
Programação Concorrente e Distribuída - Concurrent and Parallel P," rogrammingSemestre: 2022/2023 - 1.º Semestre\nUnidade de execução: Prog ramação Concorrente e Distribuída\nCódigo: L5096\nTurno: L5096TP05\nIníc io: 2022-09-13 16:00\nFim: 2022-09-13 17:30\nDocente: Caroline Conti\n\n Semester: 2022/2023 - 1.º Semestre\nExecution course: Concurrent and Par allel Programming\nCode: L5096\nShift: L5096TP05\nBegin: 2022-09-13 16:0 0\nEnd: 2022-09-13 17:30\nTeacher: Caroline Conti\n\nLOCATION:C5.09\, 5\, Edifício II (ISCTE-IUL)\, ISCTE-IUL",Tue Sep 13 15:00:00 BST 2022,Tue Sep 13 16:30:00 BST 2022
